date,temp,mw,hour,day,weekday,month,year
2017-02-01 00:53:00,37.0,1419.881,0,1,2,2,2017
2017-02-01 01:53:00,37.0,1379.505,1,1,2,2,2017
2017-02-01 02:53:00,36.0,1366.106,2,1,2,2,2017
2017-02-01 03:53:00,36.0,1364.453,3,1,2,2,2017
2017-02-01 04:53:00,36.0,1391.265,4,1,2,2,2017
2017-02-01 05:53:00,36.0,1477.3429999999998,5,1,2,2,2017
2017-02-01 06:53:00,34.0,1585.2520000000002,6,1,2,2,2017
2017-02-01 07:53:00,33.0,1671.412,7,1,2,2,2017
2017-02-01 08:53:00,34.0,1708.5970000000002,8,1,2,2,2017
2017-02-01 09:53:00,35.0,1713.8129999999999,9,1,2,2,2017
2017-02-01 10:53:00,32.0,1741.4660000000001,10,1,2,2,2017
2017-02-01 11:53:00,36.0,1724.95,11,1,2,2,2017
2017-02-01 12:53:00,36.0,1718.2279999999998,12,1,2,2,2017
2017-02-01 13:53:00,37.0,1718.995,13,1,2,2,2017
2017-02-01 14:53:00,36.0,1705.024,14,1,2,2,2017
2017-02-01 15:53:00,37.0,1675.82,15,1,2,2,2017
2017-02-01 16:53:00,36.0,1691.8039999999999,16,1,2,2,2017
2017-02-01 17:53:00,36.0,1750.203,17,1,2,2,2017
2017-02-01 18:53:00,36.0,1773.5420000000001,18,1,2,2,2017
2017-02-01 19:53:00,36.0,1729.201,19,1,2,2,2017
2017-02-01 20:53:00,35.0,1710.319,20,1,2,2,2017
2017-02-01 21:53:00,35.0,1644.154,21,1,2,2,2017
2017-02-01 22:53:00,34.0,1550.9029999999998,22,1,2,2,2017
2017-02-01 23:53:00,34.0,1474.326,23,1,2,2,2017
2017-02-02 00:53:00,34.0,1422.477,0,2,3,2,2017
2017-02-02 01:53:00,33.0,1385.905,1,2,3,2,2017
2017-02-02 02:53:00,33.0,1370.1470000000002,2,2,3,2,2017
2017-02-02 03:53:00,32.0,1365.974,3,2,3,2,2017
2017-02-02 04:53:00,32.0,1400.753,4,2,3,2,2017
2017-02-02 05:53:00,31.0,1470.75,5,2,3,2,2017
2017-02-02 06:53:00,30.0,1604.519,6,2,3,2,2017
2017-02-02 07:53:00,30.0,1692.088,7,2,3,2,2017
2017-02-02 08:53:00,31.0,1708.432,8,2,3,2,2017
2017-02-02 09:53:00,32.0,1722.5739999999998,9,2,3,2,2017
2017-02-02 10:53:00,30.0,1727.146,10,2,3,2,2017
2017-02-02 11:53:00,31.0,1742.229,11,2,3,2,2017
2017-02-02 12:53:00,32.0,1725.753,12,2,3,2,2017
2017-02-02 13:53:00,34.0,1697.0970000000002,13,2,3,2,2017
2017-02-02 14:53:00,32.0,1676.9360000000001,14,2,3,2,2017
2017-02-02 15:53:00,32.0,1661.4560000000001,15,2,3,2,2017
2017-02-02 16:53:00,31.0,1657.424,16,2,3,2,2017
2017-02-02 17:53:00,30.0,1723.005,17,2,3,2,2017
2017-02-02 18:53:00,29.0,1797.257,18,2,3,2,2017
2017-02-02 19:53:00,28.0,1779.385,19,2,3,2,2017
2017-02-02 20:53:00,27.0,1759.351,20,2,3,2,2017
2017-02-02 21:53:00,26.0,1710.516,21,2,3,2,2017
2017-02-02 22:53:00,25.0,1619.8129999999999,22,2,3,2,2017
2017-02-02 23:53:00,24.0,1533.0079999999998,23,2,3,2,2017
2017-02-03 00:53:00,23.0,1483.741,0,3,4,2,2017
2017-02-03 01:53:00,22.0,1450.931,1,3,4,2,2017
2017-02-03 02:53:00,21.0,1439.6979999999999,2,3,4,2,2017
2017-02-03 03:53:00,21.0,1455.309,3,3,4,2,2017
2017-02-03 04:53:00,20.0,1489.646,4,3,4,2,2017
2017-02-03 05:53:00,20.0,1573.999,5,3,4,2,2017
2017-02-03 06:53:00,19.0,1690.495,6,3,4,2,2017
2017-02-03 07:53:00,19.0,1781.729,7,3,4,2,2017
2017-02-03 08:53:00,20.0,1801.287,8,3,4,2,2017
2017-02-03 09:53:00,21.0,1815.4270000000001,9,3,4,2,2017
2017-02-03 10:53:00,23.0,1825.835,10,3,4,2,2017
2017-02-03 11:53:00,25.0,1795.095,11,3,4,2,2017
2017-02-03 12:53:00,25.0,1788.604,12,3,4,2,2017
2017-02-03 13:53:00,25.0,1790.976,13,3,4,2,2017
2017-02-03 14:53:00,25.0,1776.9460000000001,14,3,4,2,2017
2017-02-03 15:53:00,25.0,1770.41,15,3,4,2,2017
2017-02-03 16:53:00,24.0,1777.672,16,3,4,2,2017
2017-02-03 17:53:00,23.0,1798.287,17,3,4,2,2017
2017-02-03 18:53:00,23.0,1844.8310000000001,18,3,4,2,2017
2017-02-03 19:53:00,22.0,1835.037,19,3,4,2,2017
2017-02-03 20:53:00,22.0,1772.622,20,3,4,2,2017
2017-02-03 21:53:00,22.0,1743.5520000000001,21,3,4,2,2017
2017-02-03 22:53:00,21.0,1669.868,22,3,4,2,2017
2017-02-03 23:53:00,20.0,1581.785,23,3,4,2,2017
2017-02-04 00:53:00,19.0,1538.9129999999998,0,4,5,2,2017
2017-02-04 01:53:00,18.0,1508.14,1,4,5,2,2017
2017-02-04 02:53:00,17.0,1485.53,2,4,5,2,2017
2017-02-04 03:53:00,16.0,1488.73,3,4,5,2,2017
2017-02-04 04:53:00,15.0,1491.3410000000001,4,4,5,2,2017
2017-02-04 05:53:00,15.0,1539.954,5,4,5,2,2017
2017-02-04 06:53:00,14.0,1586.9560000000001,6,4,5,2,2017
2017-02-04 07:53:00,14.0,1638.318,7,4,5,2,2017
